,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1610963,CHOLERA_0000000001,COUNTRY,NGA,YEAR,AFR,Africa,,,2007,,,,,,,1661,,,,,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1,1611612,CHOLERA_0000000001,COUNTRY,BDI,YEAR,AFR,Africa,,,1980,,,,,,,2039,,,,,2013-06-11T14:04:28+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
2,1043,CHOLERA_0000000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,,,1979,,,,,,,1268,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
3,17600,CHOLERA_0000000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,1966,,,,,,,8353,,,,,2013-06-11T14:04:28+02:00,1966,1966-01-01T00:00:00+01:00,1966-12-31T00:00:00+01:00
4,28383,CHOLERA_0000000001,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,,2015,,,,,,,4965,4965.0,,,,2016-09-16T09:32:19+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5,29227,CHOLERA_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2011,,,,,,,26 ,,,,1 of 26  reported cases are imported.,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6,30031,CHOLERA_0000000001,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,,2004,,,,,,,4490,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7,34098,CHOLERA_0000000001,COUNTRY,IDN,YEAR,SEAR,South-East Asia,,,1986,,,,,,,11915,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
8,36096,CHOLERA_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,,1977,,,,,,,10403,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
9,38234,CHOLERA_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,,,1985,,,,,,,36,,,,,2013-06-11T14:04:28+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
10,44703,CHOLERA_0000000001,COUNTRY,NER,YEAR,AFR,Africa,,,1995,,,,,,,264,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
11,49967,CHOLERA_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,,,1995,,,,,,,6506,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
12,57012,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,,1970,,,,,,,868,,,,,2013-06-11T14:04:28+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
13,62612,CHOLERA_0000000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,1989,,,,,,,141,,,,,2013-06-11T14:04:28+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
14,63974,CHOLERA_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,,2013,,,,,,,3957,3957.0,,,,2014-08-29T13:48:20+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
15,64404,CHOLERA_0000000001,COUNTRY,IRL,YEAR,EUR,Europe,,,2001,,,,,,,1,,,,1 of 1 reported cases are imported.,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
16,66004,CHOLERA_0000000001,COUNTRY,RUS,YEAR,EUR,Europe,,,1994,,,,,,,1048,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
17,69371,CHOLERA_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,,,1980,,,,,,,18,,,,,2013-06-11T14:04:28+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
