,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1608396,WHS3_41,COUNTRY,MDG,AFR,YEAR,Africa,,,2000,,,,,,,12,12.0,,,,2024-07-12T15:46:58.707+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1,1609236,WHS3_41,COUNTRY,MNG,WPR,YEAR,Western Pacific,,,1987,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
2,1609748,WHS3_41,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,1998,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
3,1612500,WHS3_41,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,1995,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4,1613105,WHS3_41,COUNTRY,ATG,AMR,YEAR,Americas,,,1975,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
5,1613314,WHS3_41,COUNTRY,USA,AMR,YEAR,Americas,,,2001,,,,,,,1,1.0,,,,2024-07-12T15:46:58.707+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6,1614301,WHS3_41,REGION,EUR,,YEAR,,,,2011,,,,,,,33,33.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7,1614465,WHS3_41,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,1983,,,,,,,981,981.0,,,,2024-07-12T15:46:58.707+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
8,1614743,WHS3_41,GLOBAL,GLOBAL,,YEAR,,,,1987,,,,,,,27 754,27754.0,,,,2024-07-12T15:46:58.707+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
9,1011,WHS3_41,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,1986,,,,,,,630,630.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
10,3409,WHS3_41,COUNTRY,GMB,AFR,YEAR,Africa,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
11,3696,WHS3_41,COUNTRY,MCO,EUR,YEAR,Europe,,,1974,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
12,5516,WHS3_41,COUNTRY,NZL,WPR,YEAR,Western Pacific,,,2014,,,,,,,2,2.0,,,,2024-07-12T15:46:58.707+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
13,5565,WHS3_41,COUNTRY,LVA,EUR,YEAR,Europe,,,2012,,,,,,,8,8.0,,,,2024-07-12T15:46:58.707+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
