,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1608847,WHS3_45,COUNTRY,WSM,YEAR,WPR,Western Pacific,,,2018,,,,,,,5,5.0,,,,2019-10-07T13:37:51+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1,1609479,WHS3_45,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,2010,,,,,,,680,680.0,,,,2019-10-11T14:09:17+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2,1610741,WHS3_45,COUNTRY,PAN,YEAR,AMR,Americas,,,2013,,,,,,,3,3.0,,,,2019-10-11T14:15:13+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3,3446,WHS3_45,COUNTRY,HUN,YEAR,EUR,Europe,,,2011,,,,,,,No data,,,,,2019-10-11T14:09:19+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4,8096,WHS3_45,COUNTRY,RWA,YEAR,AFR,Africa,,,2005,,,,,,,61,61.0,,,,2019-10-11T14:15:03+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
5,9264,WHS3_45,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,2012,,,,,,,296,296.0,,,,2019-10-11T14:09:09+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6,10067,WHS3_45,COUNTRY,SVN,YEAR,EUR,Europe,,,2007,,,,,,,0,0.0,,,,2019-10-11T14:09:24+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7,16759,WHS3_45,COUNTRY,TTO,YEAR,AMR,Americas,,,2005,,,,,,,31,31.0,,,,2019-10-11T14:09:11+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
8,17329,WHS3_45,COUNTRY,SVN,YEAR,EUR,Europe,,,2005,,,,,,,No data,,,,,2019-10-11T14:15:04+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9,18141,WHS3_45,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,,,2020,,,,,,,2,2.0,,,,2021-09-13T09:45:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
10,18229,WHS3_45,COUNTRY,THA,YEAR,SEAR,South-East Asia,,,2011,,,,,,,280,280.0,,,,2019-10-11T14:09:07+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
11,18684,WHS3_45,COUNTRY,AUS,YEAR,WPR,Western Pacific,,,2015,,,,,,,13,13.0,,,,2019-10-11T13:32:18+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
12,20806,WHS3_45,COUNTRY,LSO,YEAR,AFR,Africa,,,2007,,,,,,,4,4.0,,,,2019-10-11T14:14:59+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
13,22134,WHS3_45,COUNTRY,BDI,YEAR,AFR,Africa,,,2005,,,,,,,293,293.0,,,,2019-10-11T14:09:11+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
14,23151,WHS3_45,COUNTRY,KGZ,YEAR,EUR,Europe,,,2020,,,,,,,0,0.0,,,,2021-09-13T09:45:17+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
15,26793,WHS3_45,COUNTRY,PRY,YEAR,AMR,Americas,,,2014,,,,,,,378,378.0,,,,2019-10-11T13:32:14+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
16,32138,WHS3_45,COUNTRY,GEO,YEAR,EUR,Europe,,,2018,,,,,,,0,0.0,,,,2019-10-07T13:37:50+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
17,33834,WHS3_45,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,,2012,,,,,,,0,0.0,,,,2019-10-11T14:09:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
18,36731,WHS3_45,COUNTRY,SUR,YEAR,AMR,Americas,,,2005,,,,,,,42,42.0,,,,2019-10-11T14:15:03+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
19,39179,WHS3_45,COUNTRY,SVK,YEAR,EUR,Europe,,,2018,,,,,,,No data,,,,,2019-10-07T13:37:54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
20,39984,WHS3_45,COUNTRY,RWA,YEAR,AFR,Africa,,,2021,,,,,,,18,18.0,,,,2022-09-06T14:22:13+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
21,46819,WHS3_45,COUNTRY,DMA,YEAR,AMR,Americas,,,2018,,,,,,,0,0.0,,,,2019-10-07T13:37:50+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
22,49663,WHS3_45,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,,2010,,,,,,,35,35.0,,,,2019-10-11T14:15:09+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
23,53857,WHS3_45,COUNTRY,SLV,YEAR,AMR,Americas,,,2007,,,,,,,8,8.0,,,,2019-10-11T14:14:59+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
24,58064,WHS3_45,COUNTRY,FSM,YEAR,WPR,Western Pacific,,,2022,,,,,,,92,92.0,,,,2023-09-12T08:25:09+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
25,58552,WHS3_45,COUNTRY,NOR,YEAR,EUR,Europe,,,2012,,,,,,,No data,,,,,2019-10-11T14:09:09+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
26,59213,WHS3_45,COUNTRY,BIH,YEAR,EUR,Europe,,,2019,,,,,,,No data,,,,,2020-09-04T12:29:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
