,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1610386,MALARIA_CONF_CASES,COUNTRY,GMB,AFR,YEAR,Africa,,2018,,,,,,,,87 448,87448.0,,,,2023-05-10T14:48:00+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1,11,MALARIA_CONF_CASES,COUNTRY,LBR,AFR,YEAR,Africa,,2007,,,,,,,,492 272,492272.0,,,,2023-05-10T14:47:54+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2,1465,MALARIA_CONF_CASES,COUNTRY,PNG,WPR,YEAR,Western Pacific,,2020,,,,,,,,750 254,750254.0,,,,2023-05-10T14:48:23+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3,2971,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,YEAR,Americas,,2006,,,,,,,,3 289,3289.0,,,,2023-05-10T14:48:08+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4,5175,MALARIA_CONF_CASES,COUNTRY,BRA,AMR,YEAR,Americas,,2001,,,,,,,,388 303,388303.0,,,,2023-05-10T14:48:21+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5,6164,MALARIA_CONF_CASES,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,2016,,,,,,,,27 737,27737.0,,,,2023-05-10T14:48:01+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6,8467,MALARIA_CONF_CASES,COUNTRY,PHL,WPR,YEAR,Western Pacific,,2002,,,,,,,,22 831,22831.0,,,,2023-05-10T14:47:57+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7,9812,MALARIA_CONF_CASES,COUNTRY,NER,AFR,YEAR,Africa,,2018,,,,,,,,3 046 450,3046450.0,,,,2023-05-10T14:48:15+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8,14060,MALARIA_CONF_CASES,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,2001,,,,,,,,203 491,203491.0,,,,2023-05-10T14:47:55+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9,16523,MALARIA_CONF_CASES,COUNTRY,TJK,EUR,YEAR,Europe,,2016,,,,,,,,1,1.0,,,,2023-05-10T14:48:23+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
10,18106,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,YEAR,Americas,,2015,,,,,,,,376,376.0,,,,2023-05-10T14:48:17+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
11,18330,MALARIA_CONF_CASES,COUNTRY,GMB,AFR,YEAR,Africa,,2011,,,,,,,,268 020,268020.0,,,,2023-05-10T14:48:08+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
12,28062,MALARIA_CONF_CASES,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,2005,,,,,,,,0,0.0,,,,2023-05-10T14:48:03+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
13,29448,MALARIA_CONF_CASES,REGION,WPR,,YEAR,,,2018,,,,,,,,664 875,664875.0,,,,2023-05-10T14:48:14+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
14,30057,MALARIA_CONF_CASES,COUNTRY,MYT,AFR,YEAR,Africa,,2018,,,,,,,,47,47.0,,,,2023-05-10T14:48:14+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
15,35951,MALARIA_CONF_CASES,COUNTRY,ARM,EUR,YEAR,Europe,,2017,,,,,,,,2,2.0,,,,2023-05-10T14:48:08+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
16,44265,MALARIA_CONF_CASES,COUNTRY,CPV,AFR,YEAR,Africa,,2005,,,,,,,,68,68.0,,,,2023-05-10T14:48:07+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
17,48026,MALARIA_CONF_CASES,COUNTRY,BFA,AFR,YEAR,Africa,,2011,,,,,,,,428 113,428113.0,,,,2023-05-10T14:48:17+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
18,55793,MALARIA_CONF_CASES,COUNTRY,ZAF,AFR,YEAR,Africa,,2010,,,,,,,,8 060,8060.0,,,,2023-05-10T14:48:19+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
19,57122,MALARIA_CONF_CASES,COUNTRY,MOZ,AFR,YEAR,Africa,,2017,,,,,,,,9 892 601,9892601.0,,,,2023-05-10T14:47:59+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
20,68315,MALARIA_CONF_CASES,COUNTRY,BWA,AFR,YEAR,Africa,,2021,,,,,,,,729,729.0,,,,2023-05-10T14:48:09+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
21,71817,MALARIA_CONF_CASES,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,2021,,,,,,,,399 097,399097.0,,,,2023-05-10T14:48:07+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
22,74604,MALARIA_CONF_CASES,COUNTRY,COD,AFR,YEAR,Africa,,2012,,,,,,,,4 791 598,4791598.0,,,,2023-05-10T14:48:09+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
23,77725,MALARIA_CONF_CASES,COUNTRY,BWA,AFR,YEAR,Africa,,2004,,,,,,,,198,198.0,,,,2023-05-10T14:48:11+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
24,84557,MALARIA_CONF_CASES,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,2020,,,,,,,,164 066,164066.0,,,,2023-05-10T14:48:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
25,85603,MALARIA_CONF_CASES,COUNTRY,UZB,EUR,YEAR,Europe,,2001,,,,,,,,145,145.0,,,,2023-05-10T14:48:21+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
