,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1608379,WHS3_62,COUNTRY,BHS,YEAR,AMR,Americas,,,1984,,,,,,,36,36.0,,,,2024-07-12T16:01:16.317+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1,1608779,WHS3_62,COUNTRY,PAN,YEAR,AMR,Americas,,,1980,,,,,,,2096,2096.0,,,,2024-07-12T16:01:16.317+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
2,1609910,WHS3_62,COUNTRY,DNK,YEAR,EUR,Europe,,,2023,,,,,,,9,9.0,,,,2024-07-12T16:01:16.317+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3,1611011,WHS3_62,COUNTRY,POL,YEAR,EUR,Europe,,,1985,,,,,,,35 680,35680.0,,,,2024-07-12T16:01:16.317+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
4,1613780,WHS3_62,COUNTRY,PLW,YEAR,WPR,Western Pacific,,,1992,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5,1614252,WHS3_62,COUNTRY,AZE,YEAR,EUR,Europe,,,1999,,,,,,,1081,1081.0,,,,2024-07-12T16:01:16.317+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
6,1614681,WHS3_62,COUNTRY,CHL,YEAR,AMR,Americas,,,1992,,,,,,,1,1.0,,,,2024-07-12T16:01:16.317+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
7,1615208,WHS3_62,COUNTRY,MYS,YEAR,WPR,Western Pacific,,,2010,,,,,,,73,73.0,,,,2024-07-12T16:01:16.317+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8,1311,WHS3_62,COUNTRY,MNE,YEAR,EUR,Europe,,,2023,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9,1547,WHS3_62,COUNTRY,TUV,YEAR,WPR,Western Pacific,,,1987,,,,,,,284,284.0,,,,2024-07-12T16:01:16.317+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
10,2474,WHS3_62,COUNTRY,GNQ,YEAR,AFR,Africa,,,2011,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
11,3520,WHS3_62,COUNTRY,ZAF,YEAR,AFR,Africa,,,1995,,,,,,,8845,8845.0,,,,2024-07-12T16:01:16.317+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
12,3587,WHS3_62,COUNTRY,USA,YEAR,AMR,Americas,,,2010,,,,,,,63,63.0,,,,2024-07-12T16:01:16.317+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
13,5009,WHS3_62,COUNTRY,UGA,YEAR,AFR,Africa,,,1992,,,,,,,36 511,36511.0,,,,2024-07-12T16:01:16.317+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
14,5364,WHS3_62,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,,2017,,,,,,,459,459.0,,,,2024-07-12T16:01:16.317+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
15,5851,WHS3_62,COUNTRY,ESP,YEAR,EUR,Europe,,,1983,,,,,,,304 350,304350.0,,,,2024-07-12T16:01:16.317+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
16,5897,WHS3_62,COUNTRY,HKG,YEAR,,,,,1998,,,,,,,56,56.0,,,,2024-07-12T16:01:16.317+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
17,6364,WHS3_62,COUNTRY,CHE,YEAR,EUR,Europe,,,2016,,,,,,,65,65.0,,,,2024-07-12T16:01:16.317+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
18,6544,WHS3_62,COUNTRY,LSO,YEAR,AFR,Africa,,,1983,,,,,,,5239,5239.0,,,,2024-07-12T16:01:16.317+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
19,7915,WHS3_62,COUNTRY,TCA,YEAR,AMR,Americas,,,1978,,,,,,,10,10.0,,,,2024-07-12T16:01:16.317+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
20,8091,WHS3_62,COUNTRY,NLD,YEAR,EUR,Europe,,,2008,,,,,,,109,109.0,,,,2024-07-12T16:01:16.317+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
21,11519,WHS3_62,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,,1978,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
22,12528,WHS3_62,COUNTRY,BMU,YEAR,AMR,Americas,,,2019,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
23,13198,WHS3_62,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,,2004,,,,,,,71,71.0,,,,2024-07-12T16:01:16.317+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
24,17606,WHS3_62,COUNTRY,MLT,YEAR,EUR,Europe,,,2020,,,,,,,2,2.0,,,,2024-07-12T16:01:16.317+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
25,17991,WHS3_62,COUNTRY,GIN,YEAR,AFR,Africa,,,1989,,,,,,,4152,4152.0,,,,2024-07-12T16:01:16.317+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
26,22257,WHS3_62,COUNTRY,ATG,YEAR,AMR,Americas,,,2010,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
27,24354,WHS3_62,REGION,WPR,YEAR,,,,,2020,,,,,,,6605,6605.0,,,,2024-07-12T16:01:16.317+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
28,24973,WHS3_62,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,,1974,,,,,,,1165,1165.0,,,,2024-07-12T16:01:16.317+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
29,25115,WHS3_62,COUNTRY,BEN,YEAR,AFR,Africa,,,2017,,,,,,,97,97.0,,,,2024-07-12T16:01:16.317+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
30,25653,WHS3_62,COUNTRY,UZB,YEAR,EUR,Europe,,,2017,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
31,26058,WHS3_62,COUNTRY,CHE,YEAR,EUR,Europe,,,1993,,,,,,,3000,3000.0,,,,2024-07-12T16:01:16.317+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
32,29907,WHS3_62,COUNTRY,BLZ,YEAR,AMR,Americas,,,1989,,,,,,,2,2.0,,,,2024-07-12T16:01:16.317+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
33,30173,WHS3_62,COUNTRY,PYF,YEAR,WPR,Western Pacific,,,1988,,,,,,,18,18.0,,,,2024-07-12T16:01:16.317+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
34,30929,WHS3_62,REGION,AFR,YEAR,,,,,2019,,,,,,,618 595,618595.0,,,,2024-07-12T16:01:16.317+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
35,31216,WHS3_62,COUNTRY,BHS,YEAR,AMR,Americas,,,2007,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
36,31641,WHS3_62,COUNTRY,NOR,YEAR,EUR,Europe,,,1988,,,,,,,133,133.0,,,,2024-07-12T16:01:16.317+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
37,32328,WHS3_62,COUNTRY,ZAF,YEAR,AFR,Africa,,,1991,,,,,,,4777,4777.0,,,,2024-07-12T16:01:16.317+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
38,34283,WHS3_62,COUNTRY,GAB,YEAR,AFR,Africa,,,1990,,,,,,,738,738.0,,,,2024-07-12T16:01:16.317+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
39,35126,WHS3_62,COUNTRY,TTO,YEAR,AMR,Americas,,,1981,,,,,,,3601,3601.0,,,,2024-07-12T16:01:16.317+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
40,35281,WHS3_62,COUNTRY,ATG,YEAR,AMR,Americas,,,2004,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
41,35700,WHS3_62,COUNTRY,PNG,YEAR,WPR,Western Pacific,,,2002,,,,,,,17 620,17620.0,,,,2024-07-12T16:01:16.317+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
42,37222,WHS3_62,COUNTRY,VGB,YEAR,AMR,Americas,,,1982,,,,,,,1,1.0,,,,2024-07-12T16:01:16.317+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
43,37442,WHS3_62,COUNTRY,PER,YEAR,AMR,Americas,,,2000,,,,,,,1,1.0,,,,2024-07-12T16:01:16.317+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
44,38338,WHS3_62,COUNTRY,FIN,YEAR,EUR,Europe,,,1979,,,,,,,2396,2396.0,,,,2024-07-12T16:01:16.317+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
45,38685,WHS3_62,COUNTRY,JPN,YEAR,WPR,Western Pacific,,,2008,,,,,,,11 015,11015.0,,,,2024-07-12T16:01:16.317+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
46,41264,WHS3_62,COUNTRY,NAM,YEAR,AFR,Africa,,,2000,,,,,,,469,469.0,,,,2024-07-12T16:01:16.317+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
47,42325,WHS3_62,COUNTRY,MLI,YEAR,AFR,Africa,,,2020,,,,,,,498,498.0,,,,2024-07-12T16:01:16.317+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
48,42564,WHS3_62,COUNTRY,BIH,YEAR,EUR,Europe,,,1995,,,,,,,125,125.0,,,,2024-07-12T16:01:16.317+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
49,42811,WHS3_62,COUNTRY,IRL,YEAR,EUR,Europe,,,1990,,,,,,,556,556.0,,,,2024-07-12T16:01:16.317+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
50,43251,WHS3_62,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,,2001,,,,,,,187 008,187008.0,,,,2024-07-12T16:01:16.317+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
51,43465,WHS3_62,COUNTRY,AUT,YEAR,EUR,Europe,,,1997,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
52,43928,WHS3_62,COUNTRY,MEX,YEAR,AMR,Americas,,,1997,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
53,44682,WHS3_62,COUNTRY,ZMB,YEAR,AFR,Africa,,,2005,,,,,,,45,45.0,,,,2024-07-12T16:01:16.317+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
54,46460,WHS3_62,COUNTRY,POL,YEAR,EUR,Europe,,,2003,,,,,,,48,48.0,,,,2024-07-12T16:01:16.317+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
55,46786,WHS3_62,COUNTRY,TZA,YEAR,AFR,Africa,,,1998,,,,,,,10 023,10023.0,,,,2024-07-12T16:01:16.317+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
56,47981,WHS3_62,COUNTRY,PNG,YEAR,WPR,Western Pacific,,,1976,,,,,,,6135,6135.0,,,,2024-07-12T16:01:16.317+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
57,48122,WHS3_62,COUNTRY,LCA,YEAR,AMR,Americas,,,2003,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
