,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1613621,WHS3_53,COUNTRY,NIC,AMR,YEAR,Americas,,,2005,,,,,,,219,219.0,,,,2024-07-12T15:49:00.303+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1,504,WHS3_53,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,159,159.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2,18645,WHS3_53,COUNTRY,GBR,EUR,YEAR,Europe,,,2019,,,,,,,6360,6360.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3,18650,WHS3_53,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4,22567,WHS3_53,COUNTRY,LUX,EUR,YEAR,Europe,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5,30703,WHS3_53,COUNTRY,GUY,AMR,YEAR,Americas,,,2015,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6,36396,WHS3_53,COUNTRY,AZE,EUR,YEAR,Europe,,,2011,,,,,,,101,101.0,,,,2024-07-12T15:49:00.303+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7,46659,WHS3_53,COUNTRY,SVK,EUR,YEAR,Europe,,,2000,,,,,,,32,32.0,,,,2024-07-12T15:49:00.303+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
8,48936,WHS3_53,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2017,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9,54653,WHS3_53,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
10,69052,WHS3_53,COUNTRY,CYM,AMR,YEAR,Americas,,,2017,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
11,74181,WHS3_53,COUNTRY,RUS,EUR,YEAR,Europe,,,2017,,,,,,,4443,4443.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
12,77464,WHS3_53,COUNTRY,MLT,EUR,YEAR,Europe,,,2021,,,,,,,3,3.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
13,78975,WHS3_53,COUNTRY,TUR,EUR,YEAR,Europe,,,2017,,,,,,,419,419.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
14,68520,WHS3_53,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,2007,,,,,,,5649,5649.0,,,,2024-07-12T15:49:00.303+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
15,86270,WHS3_53,COUNTRY,KGZ,EUR,YEAR,Europe,,,1999,,,,,,,1508,1508.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
16,89348,WHS3_53,COUNTRY,GNQ,AFR,YEAR,Africa,,,2013,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
17,67379,WHS3_53,COUNTRY,USA,AMR,YEAR,Americas,,,2007,,,,,,,800,800.0,,,,2024-07-12T15:49:00.303+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
18,64135,WHS3_53,COUNTRY,BOL,AMR,YEAR,Americas,,,2012,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
19,98374,WHS3_53,COUNTRY,GEO,EUR,YEAR,Europe,,,2021,,,,,,,3,3.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
20,98423,WHS3_53,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2008,,,,,,,67,67.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
21,104396,WHS3_53,COUNTRY,BRB,AMR,YEAR,Americas,,,2022,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
22,63731,WHS3_53,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2002,,,,,,,254 711,254711.0,,,,2024-07-12T15:49:00.303+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
23,52422,WHS3_53,COUNTRY,CHL,AMR,YEAR,Americas,,,2010,,,,,,,891,891.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24,110085,WHS3_53,COUNTRY,POL,EUR,YEAR,Europe,,,2016,,,,,,,1978,1978.0,,,,2024-07-12T15:49:00.303+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
