,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1608577,WHS3_43,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,2000,,,,,,,,5,5.0,,,,2024-07-12T15:46:58.707+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1,1609177,WHS3_43,COUNTRY,CRI,YEAR,AMR,Americas,,2018,,,,,,,,36,36.0,,,,2024-07-12T15:46:58.707+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2,1611618,WHS3_43,COUNTRY,FIN,YEAR,EUR,Europe,,1992,,,,,,,,247,247.0,,,,2024-07-12T15:46:58.707+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
3,1614526,WHS3_43,COUNTRY,PAN,YEAR,AMR,Americas,,2008,,,,,,,,108,108.0,,,,2024-07-12T15:46:58.707+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4,1614638,WHS3_43,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,1992,,,,,,,,1601,1601.0,,,,2024-07-12T15:46:58.707+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5,362,WHS3_43,COUNTRY,SRB,YEAR,EUR,Europe,,2003,,,,,,,,14,14.0,,,,2024-07-12T15:46:58.707+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6,376,WHS3_43,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,1976,,,,,,,,3088,3088.0,,,,2024-07-12T15:46:58.707+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
7,1889,WHS3_43,COUNTRY,TGO,YEAR,AFR,Africa,,2018,,,,,,,,27,27.0,,,,2024-07-12T15:46:58.707+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8,1939,WHS3_43,COUNTRY,POL,YEAR,EUR,Europe,,2020,,,,,,,,746,746.0,,,,2024-07-12T15:46:58.707+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9,5784,WHS3_43,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,2009,,,,,,,,5471,5471.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
10,6254,WHS3_43,COUNTRY,BFA,YEAR,AFR,Africa,,2020,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
11,13266,WHS3_43,COUNTRY,VEN,YEAR,AMR,Americas,,1984,,,,,,,,1939,1939.0,,,,2024-07-12T15:46:58.707+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
12,13436,WHS3_43,COUNTRY,NIU,YEAR,WPR,Western Pacific,,1982,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
13,13509,WHS3_43,COUNTRY,BLR,YEAR,EUR,Europe,,1994,,,,,,,,835,835.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
14,13674,WHS3_43,COUNTRY,CZE,YEAR,EUR,Europe,,2016,,,,,,,,627,627.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
15,14206,WHS3_43,COUNTRY,KAZ,YEAR,EUR,Europe,,1991,,,,,,,,562,562.0,,,,2024-07-12T15:46:58.707+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
16,14903,WHS3_43,COUNTRY,ETH,YEAR,AFR,Africa,,1975,,,,,,,,8445,8445.0,,,,2024-07-12T15:46:58.707+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
17,15348,WHS3_43,COUNTRY,PRT,YEAR,EUR,Europe,,1994,,,,,,,,19,19.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
18,20879,WHS3_43,COUNTRY,CYM,YEAR,AMR,Americas,,1990,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
19,21742,WHS3_43,COUNTRY,GRD,YEAR,AMR,Americas,,1975,,,,,,,,18,18.0,,,,2024-07-12T15:46:58.707+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
20,22135,WHS3_43,COUNTRY,NOR,YEAR,EUR,Europe,,1976,,,,,,,,1074,1074.0,,,,2024-07-12T15:46:58.707+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
21,22614,WHS3_43,COUNTRY,MDV,YEAR,SEAR,South-East Asia,,1993,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
22,23089,WHS3_43,COUNTRY,GIN,YEAR,AFR,Africa,,1996,,,,,,,,180,180.0,,,,2024-07-12T15:46:58.707+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
23,26343,WHS3_43,COUNTRY,RWA,YEAR,AFR,Africa,,1976,,,,,,,,21 856,21856.0,,,,2024-07-12T15:46:58.707+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
24,26775,WHS3_43,COUNTRY,TON,YEAR,WPR,Western Pacific,,2013,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
25,26807,WHS3_43,COUNTRY,AUS,YEAR,WPR,Western Pacific,,1997,,,,,,,,10 242,10242.0,,,,2024-07-12T15:46:58.707+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
26,27782,WHS3_43,COUNTRY,MWI,YEAR,AFR,Africa,,1998,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
27,29452,WHS3_43,COUNTRY,FIN,YEAR,EUR,Europe,,2011,,,,,,,,555,555.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
28,41777,WHS3_43,COUNTRY,LKA,YEAR,SEAR,South-East Asia,,1998,,,,,,,,135,135.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
29,47070,WHS3_43,COUNTRY,GHA,YEAR,AFR,Africa,,1985,,,,,,,,8704,8704.0,,,,2024-07-12T15:46:58.707+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
30,48480,WHS3_43,COUNTRY,JPN,YEAR,WPR,Western Pacific,,1982,,,,,,,,2532,2532.0,,,,2024-07-12T15:46:58.707+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
31,48505,WHS3_43,COUNTRY,IRL,YEAR,EUR,Europe,,2002,,,,,,,,131,131.0,,,,2024-07-12T15:46:58.707+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
32,50038,WHS3_43,COUNTRY,ITA,YEAR,EUR,Europe,,1994,,,,,,,,13 360,13360.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
33,54577,WHS3_43,COUNTRY,AZE,YEAR,EUR,Europe,,1997,,,,,,,,52,52.0,,,,2024-07-12T15:46:58.707+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
34,56569,WHS3_43,COUNTRY,PER,YEAR,AMR,Americas,,1978,,,,,,,,6544,6544.0,,,,2024-07-12T15:46:58.707+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
35,56812,WHS3_43,COUNTRY,BEL,YEAR,EUR,Europe,,2011,,,,,,,,103,103.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
36,60949,WHS3_43,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2011,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
37,61531,WHS3_43,COUNTRY,HRV,YEAR,EUR,Europe,,1991,,,,,,,,392,392.0,,,,2024-07-12T15:46:58.707+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
38,62136,WHS3_43,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,,1981,,,,,,,,200 430,200430.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
39,62543,WHS3_43,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,1994,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
40,62745,WHS3_43,COUNTRY,ESP,YEAR,EUR,Europe,,2013,,,,,,,,2342,2342.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
41,62835,WHS3_43,COUNTRY,RUS,YEAR,EUR,Europe,,2020,,,,,,,,6069,6069.0,,,,2024-07-12T15:46:58.707+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
42,70610,WHS3_43,COUNTRY,MUS,YEAR,AFR,Africa,,2013,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
43,70724,WHS3_43,COUNTRY,BLZ,YEAR,AMR,Americas,,1981,,,,,,,,59,59.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
44,71009,WHS3_43,COUNTRY,CYM,YEAR,AMR,Americas,,2018,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
45,74314,WHS3_43,COUNTRY,WLF,YEAR,WPR,Western Pacific,,2003,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
46,77211,WHS3_43,COUNTRY,BRA,YEAR,AMR,Americas,,2019,,,,,,,,1423,1423.0,,,,2024-07-12T15:46:58.707+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
47,81047,WHS3_43,COUNTRY,AUT,YEAR,EUR,Europe,,1986,,,,,,,,177,177.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
48,81721,WHS3_43,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,2008,,,,,,,,59,59.0,,,,2024-07-12T15:46:58.707+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
