,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1608704,WHS3_49,COUNTRY,MEX,YEAR,AMR,Americas,,2011,,,,,,,,0,0.0,,,,2019-09-11T08:28:45+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1,1608769,WHS3_49,COUNTRY,CHN,YEAR,WPR,Western Pacific,,1988,,,,,,,,667,667.0,,,,2019-09-11T08:27:55+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
2,1611440,WHS3_49,COUNTRY,GRC,YEAR,EUR,Europe,,2007,,,,,,,,0,0.0,,,,2019-09-11T08:28:16+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
3,1612394,WHS3_49,COUNTRY,CPV,YEAR,AFR,Africa,,2015,,,,,,,,0,0.0,,,,2019-09-11T08:27:50+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4,1613615,WHS3_49,COUNTRY,CHN,YEAR,WPR,Western Pacific,,2000,,,,,,,,0,0.0,,,,2019-09-11T08:27:55+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5,1614003,WHS3_49,COUNTRY,MRT,YEAR,AFR,Africa,,1996,,,,,,,,0,0.0,,,,2019-09-11T08:28:43+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
6,7638,WHS3_49,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,,1985,,,,,,,,7,7.0,,,,2019-09-11T08:29:33+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
7,8421,WHS3_49,COUNTRY,NIC,YEAR,AMR,Americas,,1997,,,,,,,,0,0.0,,,,2019-09-11T08:28:53+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
8,14151,WHS3_49,COUNTRY,CIV,YEAR,AFR,Africa,,2003,,,,,,,,1,1.0,,,,2019-09-11T08:27:59+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9,19229,WHS3_49,COUNTRY,ARG,YEAR,AMR,Americas,,2006,,,,,,,,0,0.0,,,,2019-09-11T08:27:36+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
10,21144,WHS3_49,COUNTRY,VCT,YEAR,AMR,Americas,,1987,,,,,,,,0,0.0,,,,2019-09-11T08:29:11+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
11,22324,WHS3_49,COUNTRY,MEX,YEAR,AMR,Americas,,2014,,,,,,,,0,0.0,,,,2019-09-11T08:28:45+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
12,23286,WHS3_49,COUNTRY,NOR,YEAR,EUR,Europe,,2015,,,,,,,,0,0.0,,,,2019-09-11T08:28:57+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
13,27728,WHS3_49,COUNTRY,BWA,YEAR,AFR,Africa,,1986,,,,,,,,2,2.0,,,,2019-09-11T08:27:46+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
