,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1609284,WHS3_57,COUNTRY,GUY,AMR,YEAR,Americas,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1,1611336,WHS3_57,COUNTRY,CZE,EUR,YEAR,Europe,,,2005,,,,,,,8,8.0,,,,2024-07-12T15:55:34.113+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2,1611477,WHS3_57,COUNTRY,ERI,AFR,YEAR,Africa,,,2017,,,,,,,413,413.0,,,,2024-07-12T15:55:34.113+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
3,1612624,WHS3_57,COUNTRY,MAC,,YEAR,,,,2022,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4,1676,WHS3_57,COUNTRY,TJK,EUR,YEAR,Europe,,,2012,,,,,,,1,1.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5,3058,WHS3_57,COUNTRY,PAN,AMR,YEAR,Americas,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6,3786,WHS3_57,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2009,,,,,,,608,608.0,,,,2024-07-12T15:55:34.113+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7,3874,WHS3_57,COUNTRY,URY,AMR,YEAR,Americas,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8,6467,WHS3_57,COUNTRY,FRA,EUR,YEAR,Europe,,,2020,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9,7126,WHS3_57,REGION,EUR,,YEAR,,,,2008,,,,,,,23 912,23912.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
10,7768,WHS3_57,COUNTRY,NER,AFR,YEAR,Africa,,,2011,,,,,,,19,19.0,,,,2024-07-12T15:55:34.113+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
11,9777,WHS3_57,COUNTRY,GRC,EUR,YEAR,Europe,,,2018,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
12,26284,WHS3_57,COUNTRY,VEN,AMR,YEAR,Americas,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
13,30969,WHS3_57,COUNTRY,SVK,EUR,YEAR,Europe,,,2002,,,,,,,7,7.0,,,,2024-07-12T15:55:34.113+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
14,32916,WHS3_57,COUNTRY,SVN,EUR,YEAR,Europe,,,2022,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
15,36102,WHS3_57,COUNTRY,GBR,EUR,YEAR,Europe,,,2019,,,,,,,3,3.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
16,37179,WHS3_57,COUNTRY,GHA,AFR,YEAR,Africa,,,2008,,,,,,,459,459.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
17,41292,WHS3_57,COUNTRY,COL,AMR,YEAR,Americas,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
18,43740,WHS3_57,COUNTRY,NAM,AFR,YEAR,Africa,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
19,46331,WHS3_57,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,2021,,,,,,,34,34.0,,,,2024-07-12T15:55:34.113+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
20,47772,WHS3_57,COUNTRY,MWI,AFR,YEAR,Africa,,,2008,,,,,,,105,105.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
