,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1609153,WHS3_46,COUNTRY,COL,YEAR,AMR,Americas,,,2017,,,,,,,37,37.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1,1610123,WHS3_46,COUNTRY,MYS,YEAR,WPR,Western Pacific,,,1994,,,,,,,17,17.0,,,,2024-07-12T15:49:00.303+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2,1610998,WHS3_46,COUNTRY,BDI,YEAR,AFR,Africa,,,1987,,,,,,,194,194.0,,,,2024-07-12T15:49:00.303+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
3,1611300,WHS3_46,COUNTRY,LTU,YEAR,EUR,Europe,,,1997,,,,,,,3,3.0,,,,2024-07-12T15:49:00.303+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4,1611850,WHS3_46,COUNTRY,BRB,YEAR,AMR,Americas,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5,1612531,WHS3_46,COUNTRY,BEN,YEAR,AFR,Africa,,,2015,,,,,,,7,7.0,,,,2024-07-12T15:49:00.303+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6,1613560,WHS3_46,COUNTRY,BRA,YEAR,AMR,Americas,,,1993,,,,,,,1282,1282.0,,,,2024-07-12T15:49:00.303+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
7,1613825,WHS3_46,COUNTRY,STP,YEAR,AFR,Africa,,,2004,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
8,2826,WHS3_46,COUNTRY,COG,YEAR,AFR,Africa,,,2012,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9,4933,WHS3_46,COUNTRY,NGA,YEAR,AFR,Africa,,,1990,,,,,,,2703,2703.0,,,,2024-07-12T15:49:00.303+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
10,5066,WHS3_46,COUNTRY,JPN,YEAR,WPR,Western Pacific,,,1996,,,,,,,44,44.0,,,,2024-07-12T15:49:00.303+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
11,5562,WHS3_46,COUNTRY,CZE,YEAR,EUR,Europe,,,1997,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
12,5743,WHS3_46,COUNTRY,AND,YEAR,EUR,Europe,,,1999,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
13,6646,WHS3_46,COUNTRY,KIR,YEAR,WPR,Western Pacific,,,1984,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
14,10160,WHS3_46,COUNTRY,SWZ,YEAR,AFR,Africa,,,2000,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
15,10670,WHS3_46,COUNTRY,ISL,YEAR,EUR,Europe,,,1994,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
16,11498,WHS3_46,COUNTRY,TCD,YEAR,AFR,Africa,,,1981,,,,,,,286,286.0,,,,2024-07-12T15:49:00.303+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
17,11557,WHS3_46,COUNTRY,VUT,YEAR,WPR,Western Pacific,,,1992,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
18,13347,WHS3_46,COUNTRY,CYP,YEAR,EUR,Europe,,,2011,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
19,13644,WHS3_46,COUNTRY,DMA,YEAR,AMR,Americas,,,2001,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
20,15061,WHS3_46,COUNTRY,CAN,YEAR,AMR,Americas,,,2023,,,,,,,3,3.0,,,,2024-07-12T15:49:00.303+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
21,15720,WHS3_46,COUNTRY,CAN,YEAR,AMR,Americas,,,1995,,,,,,,6,6.0,,,,2024-07-12T15:49:00.303+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
22,17788,WHS3_46,COUNTRY,BEN,YEAR,AFR,Africa,,,2005,,,,,,,12,12.0,,,,2024-07-12T15:49:00.303+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
23,17947,WHS3_46,COUNTRY,BOL,YEAR,AMR,Americas,,,2012,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
24,19972,WHS3_46,COUNTRY,HND,YEAR,AMR,Americas,,,1977,,,,,,,61,61.0,,,,2024-07-12T15:49:00.303+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
25,21536,WHS3_46,COUNTRY,LUX,YEAR,EUR,Europe,,,1976,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
26,23999,WHS3_46,GLOBAL,GLOBAL,YEAR,,,,,1998,,,,,,,20 469,20469.0,,,,2024-07-12T15:49:00.303+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
