,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1609206,WHS3_50,COUNTRY,MEX,YEAR,AMR,Americas,,2012,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1,1611820,WHS3_50,COUNTRY,COL,YEAR,AMR,Americas,,2023,,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2,1612267,WHS3_50,COUNTRY,GUY,YEAR,AMR,Americas,,2016,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3,1612535,WHS3_50,COUNTRY,NER,YEAR,AFR,Africa,,2010,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4,1614480,WHS3_50,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,,1995,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
5,1076,WHS3_50,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2008,,,,,,,,22,22.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6,3040,WHS3_50,COUNTRY,BRA,YEAR,AMR,Americas,,2014,,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7,4677,WHS3_50,COUNTRY,LBR,YEAR,AFR,Africa,,1997,,,,,,,,3,3.0,,,,2024-07-12T15:49:00.303+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
8,6269,WHS3_50,COUNTRY,SEN,YEAR,AFR,Africa,,2018,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9,8462,WHS3_50,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,2020,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
10,10180,WHS3_50,COUNTRY,AUT,YEAR,EUR,Europe,,2014,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
11,11284,WHS3_50,COUNTRY,URY,YEAR,AMR,Americas,,2022,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
12,11722,WHS3_50,REGION,EUR,YEAR,,,,2013,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
13,13221,WHS3_50,COUNTRY,USA,YEAR,AMR,Americas,,2008,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
14,14550,WHS3_50,COUNTRY,BRN,YEAR,WPR,Western Pacific,,1999,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
15,17084,WHS3_50,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,2021,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
16,22500,WHS3_50,COUNTRY,SLE,YEAR,AFR,Africa,,2008,,,,,,,,111,111.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
17,22930,WHS3_50,COUNTRY,TUR,YEAR,EUR,Europe,,2011,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
18,26441,WHS3_50,COUNTRY,BGR,YEAR,EUR,Europe,,2006,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
19,27671,WHS3_50,COUNTRY,THA,YEAR,SEAR,South-East Asia,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
20,28390,WHS3_50,COUNTRY,UZB,YEAR,EUR,Europe,,2018,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
21,29297,WHS3_50,COUNTRY,GTM,YEAR,AMR,Americas,,2019,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
22,30201,WHS3_50,COUNTRY,VEN,YEAR,AMR,Americas,,2019,,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
23,31843,WHS3_50,COUNTRY,NLD,YEAR,EUR,Europe,,2014,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
24,32796,WHS3_50,COUNTRY,STP,YEAR,AFR,Africa,,2011,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
25,37134,WHS3_50,COUNTRY,NAM,YEAR,AFR,Africa,,2010,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
26,38360,WHS3_50,COUNTRY,GMB,YEAR,AFR,Africa,,2014,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
27,38916,WHS3_50,COUNTRY,CHE,YEAR,EUR,Europe,,2003,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
28,39046,WHS3_50,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,2016,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
29,39283,WHS3_50,COUNTRY,BLZ,YEAR,AMR,Americas,,2004,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
30,40018,WHS3_50,COUNTRY,KAZ,YEAR,EUR,Europe,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
31,40969,WHS3_50,COUNTRY,URY,YEAR,AMR,Americas,,1999,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
32,42165,WHS3_50,COUNTRY,ATG,YEAR,AMR,Americas,,2006,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
33,43027,WHS3_50,COUNTRY,VUT,YEAR,WPR,Western Pacific,,2001,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
34,44646,WHS3_50,COUNTRY,ABW,YEAR,AMR,Americas,,2018,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
35,48314,WHS3_50,COUNTRY,BFA,YEAR,AFR,Africa,,2009,,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
36,49349,WHS3_50,COUNTRY,HND,YEAR,AMR,Americas,,2020,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
37,49951,WHS3_50,COUNTRY,BOL,YEAR,AMR,Americas,,2017,,,,,,,,5,5.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
38,54619,WHS3_50,COUNTRY,AUT,YEAR,EUR,Europe,,2004,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
39,55631,WHS3_50,COUNTRY,COG,YEAR,AFR,Africa,,2015,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
40,57130,WHS3_50,COUNTRY,GAB,YEAR,AFR,Africa,,1995,,,,,,,,16,16.0,,,,2024-07-12T15:49:00.303+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
41,59019,WHS3_50,COUNTRY,STP,YEAR,AFR,Africa,,2013,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
42,59482,WHS3_50,COUNTRY,HUN,YEAR,EUR,Europe,,2023,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
43,60408,WHS3_50,COUNTRY,CHE,YEAR,EUR,Europe,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
44,66379,WHS3_50,COUNTRY,FIN,YEAR,EUR,Europe,,2022,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
45,66682,WHS3_50,COUNTRY,LSO,YEAR,AFR,Africa,,2019,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
46,69542,WHS3_50,COUNTRY,WSM,YEAR,WPR,Western Pacific,,2017,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
47,69940,WHS3_50,COUNTRY,SSD,YEAR,AFR,Africa,,2020,,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
48,70941,WHS3_50,COUNTRY,COM,YEAR,AFR,Africa,,2017,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
49,73546,WHS3_50,COUNTRY,COL,YEAR,AMR,Americas,,2002,,,,,,,,20,20.0,,,,2024-07-12T15:49:00.303+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
50,77894,WHS3_50,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,2011,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
51,82113,WHS3_50,COUNTRY,LKA,YEAR,SEAR,South-East Asia,,2021,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
52,82405,WHS3_50,COUNTRY,AND,YEAR,EUR,Europe,,2020,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
53,84748,WHS3_50,COUNTRY,ECU,YEAR,AMR,Americas,,1994,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
54,87348,WHS3_50,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2019,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
55,89754,WHS3_50,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,1975,,,,,,,,17,17.0,,,,2024-07-12T15:49:00.303+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
56,93428,WHS3_50,COUNTRY,LSO,YEAR,AFR,Africa,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
57,95258,WHS3_50,COUNTRY,LSO,YEAR,AFR,Africa,,2006,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
58,96363,WHS3_50,COUNTRY,GHA,YEAR,AFR,Africa,,1979,,,,,,,,494,494.0,,,,2024-07-12T15:49:00.303+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
59,98226,WHS3_50,COUNTRY,WSM,YEAR,WPR,Western Pacific,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
60,98523,WHS3_50,COUNTRY,CUB,YEAR,AMR,Americas,,2017,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
61,99487,WHS3_50,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2001,,,,,,,,380,380.0,,,,2024-07-12T15:49:00.303+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
62,99539,WHS3_50,COUNTRY,GHA,YEAR,AFR,Africa,,1999,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
63,100038,WHS3_50,COUNTRY,ATG,YEAR,AMR,Americas,,2002,,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
